"Group","Condition","Polarity","Response","subject.ID","gender","age","exp","trial","item.typ","obj.loc","character","verb","Greek.sentence","English.translation"
"Child","AI","Negative","1 strawberry","C20","female","5.1","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Child","AI","Negative","2 strawberries","C21","female","5.5","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
"Child","AI","Positive","3 strawberries","C21","female","5.5","MPL","4","MPL_TST_POS","R","Bunny","buy","To kunelaki agorase psomia.","Bunny bought breads."
"Child","AI","Positive","2 strawberries","C21","female","5.5","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Child","AI","Positive","3 strawberries","C21","female","5.5","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Child","AI","Negative","1 strawberry","C21","female","5.5","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Child","AI","Negative","1 strawberry","C21","female","5.5","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Child","AI","Negative","2 strawberries","C22","female","5.9","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
"Child","AI","Positive","3 strawberries","C22","female","5.9","MPL","4","MPL_TST_POS","R","Bunny","buy","To kunelaki agorase psomia.","Bunny bought breads."
"Child","AI","Positive","1 strawberry","C22","female","5.9","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Child","AI","Positive","1 strawberry","C22","female","5.9","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Child","AI","Negative","1 strawberry","C22","female","5.9","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Child","AI","Negative","1 strawberry","C22","female","5.9","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Child","AI","Negative","1 strawberry","C23","male","4.8","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
"Child","AI","Positive","3 strawberries","C23","male","4.8","MPL","4","MPL_TST_POS","R","Bunny","buy","To kunelaki agorase psomia.","Bunny bought breads."
"Child","AI","Positive","2 strawberries","C23","male","4.8","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Child","AI","Positive","1 strawberry","C23","male","4.8","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Child","AI","Negative","2 strawberries","C23","male","4.8","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Child","AI","Negative","1 strawberry","C23","male","4.8","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Child","AI","Negative","1 strawberry","C25","female","6","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
"Child","AI","Positive","3 strawberries","C25","female","6","MPL","4","MPL_TST_POS","R","Bunny","buy","To kunelaki agorase psomia.","Bunny bought breads."
"Child","AI","Positive","3 strawberries","C25","female","6","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Child","AI","Positive","3 strawberries","C25","female","6","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Child","AI","Negative","2 strawberries","C25","female","6","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Child","AI","Negative","1 strawberry","C25","female","6","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Child","AI","Negative","1 strawberry","C26","female","5.6","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
"Child","AI","Positive","3 strawberries","C26","female","5.6","MPL","4","MPL_TST_POS","R","Bunny","buy","To kunelaki agorase psomia.","Bunny bought breads."
"Child","AI","Positive","3 strawberries","C26","female","5.6","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Child","AI","Positive","3 strawberries","C26","female","5.6","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Child","AI","Negative","1 strawberry","C26","female","5.6","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Child","AI","Negative","1 strawberry","C26","female","5.6","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Child","AI","Negative","1 strawberry","C27","female","5.11","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
